# ne_cache v1 — ORACLE-PROVENANCE INPUT DATA (m4-pinning §P4/C3; RESEARCH-M §2 amendment).
# Conductor N(E) and root number ε(E) for the height-ordered family
#   {E_{A,B}: y²=x³+Ax+B, H(E)=max(4|A|³,27B²) ≤ X, reduced, nonsingular}.
# N, eps are OBTAINED FROM AN ORACLE (PARI/GP) — a live oracle supplying
# trusted INPUT, not refereeing our numbers; a_p stays COMPUTED (ap_charsum).
# Residual risk: a systematic oracle N/ε error propagates silently — certified
# against pinned ecdata by verify/m4/oracle_dual_overlap_NE (5676 classes exact).
# Generated by: `at ne-cache --X 10000 --out data/m4/ne_cache.txt`.
# Oracle: PARI/GP [2, 17, 4], ellglobalred(ellinit([0,0,0,A,B]))[1] (N), ellrootno (eps).
# provenance: oracle   (columns N, eps)
# format_version 1
# generator_hash 787e95ade733c99f38e72ccb7d38f049b7e02b59ddb673627c58d8bc346de521
# X 10000
# count 1048
# A B N eps
-7 -2 316 -1
-7 -1 10760 1
-7 0 3136 -1
-7 1 21520 -1
-7 2 1264 1
-7 3 9032 1
-7 4 15040 -1
-7 5 11152 1
-7 6 80 1
-7 7 392 -1
-7 8 5696 1
-7 9 13040 -1
-7 10 664 1
-7 11 15160 1
-7 12 40256 1
-7 13 51056 -1
-7 14 980 1
-7 15 37624 1
-7 16 88640 -1
-7 17 102896 1
-7 18 7376 1
-7 19 2680 -1
-6 -19 71064 1
-6 -18 42048 -1
-6 -17 111024 -1
-6 -16 48384 1
-6 -15 41688 -1
-6 -14 23616 -1
-6 -13 19728 1
-6 -12 24192 -1
-6 -11 19224 -1
-6 -10 29376 1
-6 -9 1008 1
-6 -8 6912 -1
-6 -7 3672 1
-6 -6 1728 1
-6 -5 1008 -1
-6 -4 1152 -1
-6 -3 4968 -1
-6 -2 12096 1
-6 -1 13392 -1
-6 0 2304 -1
-6 1 6696 -1
-6 2 12096 1
-6 3 9936 1
-6 4 1152 -1
-6 5 504 -1
-6 6 1728 -1
-6 7 7344 -1
-6 8 6912 -1
-6 9 504 -1
-6 10 29376 -1
-6 11 38448 -1
-6 12 24192 -1
-6 13 9864 -1
-6 14 23616 -1
-6 15 83376 1
-6 16 48384 1
-6 17 55512 1
-6 18 42048 -1
-6 19 142128 1
-5 -19 36988 1
-5 -18 131968 -1
-5 -17 116848 -1
-5 -16 51296 -1
-5 -15 22300 -1
-5 -14 76672 1
-5 -13 65008 -1
-5 -12 2464 1
-5 -11 11068 -1
-5 -10 35200 1
-5 -9 26992 1
-5 -8 9824 1
-5 -7 3292 1
-5 -6 7552 1
-5 -5 2800 1
-5 -4 544 1
-5 -3 1028 -1
-5 -2 896 1
-5 -1 7568 -1
-5 0 800 -1
-5 1 1892 -1
-5 2 896 -1
-5 3 4112 -1
-5 4 544 -1
-5 5 700 -1
-5 6 7552 -1
-5 7 13168 -1
-5 8 9824 -1
-5 9 6748 -1
-5 10 35200 -1
-5 11 44272 1
-5 12 2464 -1
-5 13 16252 1
-5 14 76672 -1
-5 15 89200 1
-5 16 51296 1
-5 17 29212 1
-5 18 131968 1
-5 19 147952 -1
-4 -19 37964 -1
-4 -18 135872 -1
-4 -17 120752 -1
-4 -16 1664 1
-4 -15 1012 1
-4 -14 80576 -1
-4 -13 68912 1
-4 -12 1816 -1
-4 -11 12044 -1
-4 -10 39104 -1
-4 -9 30896 -1
-4 -8 1472 1
-4 -7 4268 1
-4 -6 11456 -1
-4 -5 6704 -1
-4 -4 176 1
-4 -3 52 1
-4 -2 2368 -1
-4 -1 3664 1
-4 0 64 1
-4 1 916 1
-4 2 2368 1
-4 3 208 1
-4 4 88 -1
-4 5 1676 1
-4 6 11456 -1
-4 7 17072 -1
-4 8 1472 1
-4 9 7724 1
-4 10 39104 -1
-4 11 48176 1
-4 12 3632 -1
-4 13 17228 -1
-4 14 80576 -1
-4 15 4048 1
-4 16 1664 1
-4 17 30188 1
-4 18 135872 -1
-4 19 151856 1
-3 -19 154224 -1
-3 -18 360 1
-3 -17 61560 -1
-3 -16 12096 -1
-3 -15 95472 -1
-3 -14 1296 -1
-3 -13 35640 1
-3 -12 60480 -1
-3 -11 5616 -1
-3 -10 2592 -1
-3 -9 5544 -1
-3 -8 25920 1
-3 -7 2160 1
-3 -6 864 1
-3 -5 4536 1
-3 -4 5184 -1
-3 -3 2160 -1
-3 -1 648 -1
-3 0 576 1
-3 1 1296 -1
-3 3 1080 -1
