# ne_cache v1 — ORACLE-PROVENANCE INPUT DATA (m4-pinning §P4/C3; RESEARCH-M §2 amendment).
# Conductor N(E) and root number ε(E) for the height-ordered family
#   {E_{A,B}: y²=x³+Ax+B, H(E)=max(4|A|³,27B²) ≤ X, reduced, nonsingular}.
# N, eps are OBTAINED FROM AN ORACLE (PARI/GP) — a live oracle supplying
# trusted INPUT, not refereeing our numbers; a_p stays COMPUTED (ap_charsum).
# Residual risk: a systematic oracle N/ε error propagates silently — certified
# against pinned ecdata by verify/m4/oracle_dual_overlap_NE (5676 classes exact).
# Generated by: `at ne-cache --X 262144 --out data/m5/ne_cache_x262144.txt`.
# Oracle: PARI/GP [2, 17, 4], ellglobalred(ellinit([0,0,0,A,B]))[1] (N), ellrootno (eps).
# provenance: oracle   (columns N, eps)
# format_version 1
# generator_hash 787e95ade733c99f38e72ccb7d38f049b7e02b59ddb673627c58d8bc346de521
# X 262144
# count 15936
# A B N eps
-39 -57 1196424 1
-39 -56 271296 1
-39 -55 2489616 1
-39 -54 26424 1
-39 -53 1291464 -1
-39 -52 292032 1
-39 -51 2672784 1
-39 -50 42444 1
-39 -49 1379592 1
-39 -48 2801088 1
-39 -47 315792 1
-39 -46 180144 1
-39 -45 486936 1
-39 -44 2960064 -1
-39 -43 37008 -1
-39 -42 189648 1
-39 -41 1535112 -1
-39 -40 3105216 1
-39 -39 3139344 1
-39 -38 1224 1
-39 -37 1602504 -1
-39 -36 1078848 1
-39 -35 3267216 1
-39 -34 5724 1
-39 -33 1662984 1
-39 -32 3354048 1
-39 -31 3381264 -1
-39 -30 212976 -1
-39 -29 190728 -1
-39 -28 3457728 -1
-39 -27 1160496 1
-39 -26 219024 -1
-39 -25 195912 -1
-39 -24 3547584 1
-39 -23 3567888 -1
-39 -22 112104 -1
-39 -21 1802952 -1
-39 -20 402624 -1
-39 -19 68688 -1
-39 -18 828 1
-39 -17 1835784 1
-39 -16 45504 1
-39 -15 3699216 1
-39 -14 231984 -1
-39 -13 1861704 -1
-39 -12 3734208 1
-39 -11 15408 -1
-39 -10 234576 1
-39 -9 626904 1
-39 -8 3768768 -1
-39 -7 419472 1
-39 -6 118152 1
-39 -5 1892808 1
-39 -4 3789504 -1
-39 -3 3792528 1
-39 -2 6588 -1
-39 -1 1897992 1
-39 0 97344 -1
-39 1 3795984 -1
-39 2 26352 1
-39 3 1896264 1
-39 4 3789504 1
-39 5 3785616 1
-39 6 236304 1
-39 7 209736 -1
-39 8 3768768 1
-39 9 1253808 1
-39 10 117288 -1
-39 11 7704 1
-39 12 3734208 -1
-39 13 3723408 -1
-39 14 57996 1
-39 15 1849608 -1
-39 16 45504 -1
-39 17 3671568 -1
-39 18 3312 -1
-39 19 34344 -1
-39 20 402624 1
-39 21 3605904 -1
-39 22 224208 1
-39 23 1783944 1
-39 24 3547584 -1
-39 25 391824 1
-39 26 109512 -1
-39 27 580248 -1
-39 28 3457728 1
-39 29 381456 -1
-39 30 53244 1
-39 31 1690632 1
-39 32 3354048 -1
-39 33 3325968 -1
-39 34 22896 -1
-39 35 1633608 1
-39 36 1078848 1
-39 37 3205008 -1
-39 38 2448 1
-39 39 1569672 -1
-39 40 3105216 -1
-39 41 3070224 1
-39 42 94824 -1
-39 43 18504 -1
-39 44 2960064 1
-39 45 973872 -1
-39 46 45036 -1
-39 47 157896 -1
-39 48 2801088 -1
-39 49 2759184 -1
-39 50 169776 -1
-39 51 1336392 1
-39 52 292032 -1
-39 53 2582928 -1
-39 54 52848 1
-39 55 1244808 -1
-39 56 271296 -1
-39 57 2392848 -1
-39 58 73224 1
-39 59 1146312 -1
-39 60 2241216 -1
-39 61 243216 1
-39 62 33372 -1
-39 63 346968 1
-39 64 2026944 -1
-39 65 24336 1
-39 66 119664 -1
-39 67 928584 -1
-39 68 1798848 1
-39 69 1739664 1
-39 70 144 1
-39 71 809352 1
-39 72 518976 1
-39 73 1494288 -1
-39 74 4968 1
-39 75 683208 1
-39 76 1301184 1
-39 77 1235088 1
-39 78 18252 1
-39 79 61128 1
-39 80 1031616 1
-39 81 320688 -1
-39 82 55728 1
-39 83 45576 -1
-39 84 748224 1
-39 85 675216 1
-39 86 37584 1
-39 87 263304 -1
-39 88 50112 1
-39 89 22032 -1
-39 90 3096 1
-39 91 109512 -1
-39 92 576 1
-39 93 60048 1
-39 94 324 1
-39 95 51192 1
-39 96 184896 -1
-39 97 3312 1
-39 98 22032 1
-38 -98 637120 -1
-38 -97 552880 -1
-38 -96 234752 -1
-38 -95 193496 -1
-38 -94 305344 -1
-38 -93 224560 1
-38 -92 72320 1
-38 -91 32792 -1
-38 -90 12608 -1
-38 -89 89936 -1
-38 -88 16640 1
-38 -87 440 -1
-38 -86 45248 -1
-38 -85 390608 -1
-38 -84 231808 -1
-38 -83 267880 -1
-38 -82 607040 -1
-38 -81 677456 -1
-38 -80 373504 -1
-38 -79 407848 -1
-38 -78 883520 -1
-38 -77 8720 1
-38 -76 508288 -1
-38 -75 540904 1
-38 -74 1146176 1
-38 -73 1209680 -1
-38 -72 636160 1
-38 -71 667048 -1
-38 -70 1395008 -1
-38 -69 1455056 -1
-38 -68 58240 -1
-38 -67 786280 1
-38 -66 1630016 -1
-38 -65 45584 1
-38 -64 871168 1
-38 -63 179720 -1
-38 -62 370240 -1
-38 -61 38864 1
-38 -60 978304 -1
-38 -59 1004008 -1
-38 -58 2058560 1
-38 -57 2108240 -1
-38 -56 1078528 -1
-38 -55 1102504 1
-38 -54 2252096 -1
-38 -53 2298320 -1
-38 -52 1171840 1
-38 -51 1194088 -1
-38 -50 2431808 1
-38 -49 2474576 -1
-38 -48 1258240 -1
-38 -47 1278760 -1
-38 -46 2597696 1
-38 -45 2637008 1
-38 -44 1337728 -1
-38 -43 1356520 -1
-38 -42 2749760 1
-38 -41 2785616 -1
-38 -40 1410304 -1
-38 -39 1427368 1
-38 -38 115520 -1
-38 -37 83440 -1
-38 -36 1475968 -1
-38 -35 1491304 1
-38 -34 273856 -1
-38 -33 3041360 -1
-38 -32 1534720 1
-38 -31 1548328 1
-38 -30 3123008 -1
-38 -29 3148496 -1
-38 -28 1586560 1
-38 -27 1598440 1
-38 -26 3219776 -1
-38 -25 3241808 1
-38 -24 1631488 -1
-38 -23 1641640 -1
-38 -22 3302720 -1
-38 -21 3321296 1
-38 -20 1669504 1
-38 -19 1677928 -1
-38 -18 3371840 1
-38 -17 3386960 -1
-38 -16 1700608 -1
-38 -15 1707304 -1
-38 -14 3427136 -1
-38 -13 687760 1
-38 -12 49280 -1
-38 -11 1729768 1
-38 -10 3468608 -1
-38 -9 3476816 1
-38 -8 1742080 -1
-38 -7 1745320 1
-38 -6 3496256 -1
-38 -5 3501008 1
-38 -4 1752448 1
-38 -3 1753960 1
